x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38
-3.3360512256622314,2.780089855194092,1.010788231545157,-3.3360726833343506,1.6680854558944702,1.007104588397342,-3.336038589477539,0.5559817552566528,1.003953413534473,-3.336216688156128,-0.5560119152069092,1.001242720880691,-3.336185932159424,-1.6681461334228516,1.001387165516644,-3.336056709289551,-2.780059814453125,1.0031777572895226,-2.224055528640747,2.780085563659668,1.0068933947379992,-2.2240426540374756,1.6680697202682495,1.0060820491118647,-2.2240233421325684,0.5559779405593872,1.0038437667112157,-2.2239773273468018,-0.555747926235199,1.0006238690264582,-2.224026918411255,-1.66802978515625,1.0037340531680092,-2.224017858505249,-2.780038833618164,1.004189836137957,-1.1120246648788452,2.7800915241241455,1.0047940867482976,-1.1120076179504395,1.6682418584823608,1.0019357554726593,-1.1118441820144653,0.556215226650238,1.0003542242899128,-1.1121375560760498,-0.5560446381568909,1.0003540859271016,-1.1121796369552612,-1.6682084798812866,1.00061961192303,-1.1120485067367554,-2.780012369155884,1.0017786932371382,1.5324883861467242e-05,2.7798104286193848,1.0019407729055092,-7.301059667952359e-06,1.6681759357452393,1.0,0.0001149956660810858,0.5561891794204712,1.000683730373421,4.733032255899161e-06,-0.5562199950218201,1.0011091045681677,-1.9042797703150427e-06,-1.6681205034255981,1.000366925115668,8.312566023960244e-06,-2.779879331588745,1.001830459577759,1.1120326519012451,2.7800819873809814,1.0041608782899856,1.111966848373413,1.6681002378463745,1.0010706391274289,1.1119542121887207,0.5561730861663818,1.0003127989622589,1.1122655868530273,-0.5561517477035522,1.0010798658245768,1.1121011972427368,-1.6681265830993652,1.0006281224232225,1.1120679378509521,-2.780174970626831,1.0015250029084564,2.2240562438964844,2.7800838947296143,1.0064238294652024,2.224053144454956,1.6680489778518677,1.0046225469787895,2.2239222526550293,0.5562112927436829,1.000964996659459,2.2241363525390625,-0.5557912588119507,1.0009327308456704,2.2241294384002686,-1.6680277585983276,1.0017180672749237,2.2240869998931885,-2.780061721801758,1.001737666028348,3.3360722064971924,2.7800722122192383,1.0075583039755291,3.336068868637085,1.6680412292480469,1.004047223636444,3.3358542919158936,0.5561405420303345,1.0013078126778419
-3.336369037628174,2.780985116958618,1.0415881107487075,-3.3366336822509766,1.6687710285186768,1.0302654647752933,-3.3362905979156494,0.5558502674102783,1.0178255357984745,-3.337810516357422,-0.5560986399650574,1.0073745535286434,-3.3373515605926514,-1.6690324544906616,1.0084625946609593,-3.3365602493286133,-2.780639886856079,1.0123924904847807,-2.224482774734497,2.780810594558716,1.026277094475954,-2.224353551864624,1.6687719821929932,1.0233014162462495,-2.224353313446045,0.5561085939407349,1.0156253768988244,-2.224072217941284,-0.5543257594108582,1.0076442207368381,-2.224379062652588,-1.6682637929916382,1.0141092791054689,-2.2243459224700928,-2.780428409576416,1.0158957909997843,-1.1122043132781982,2.780876398086548,1.0186823756266676,-1.1122026443481445,1.669933795928955,1.0112061384339177,-1.1110540628433228,0.5576710104942322,1.0074309467124112,-1.1130238771438599,-0.5562970638275146,1.0067839684612407,-1.1133314371109009,-1.669499158859253,1.0071360996733711,-1.1121312379837036,-2.779947519302368,1.0081120026409918,0.00014213654503691941,2.7790417671203613,1.0094347145147913,-5.532410796149634e-05,1.6693005561828613,1.0043159322087012,0.000900763610843569,0.5575327277183533,1.0045090642217838,3.3644009818090126e-05,-0.5574434995651245,1.0063274279418692,-1.1520715816004667e-05,-1.668898582458496,1.0064144214890256,6.584217044292018e-05,-2.7794275283813477,1.0093538582762993,1.112320899963379,2.780819892883301,1.0165095478128932,1.1119345426559448,1.6689810752868652,1.0086811052747362,1.1118581295013428,0.5573607087135315,1.0071165155149355,1.1137882471084595,-0.5570247173309326,1.007424968790292,1.1125048398971558,-1.6686257123947144,1.0046885705385649,1.1125611066818237,-2.7814812660217285,1.009862697042554,2.2245235443115234,2.780820846557617,1.024575322477176,2.2245900630950928,1.6686294078826904,1.0184612064082466,2.223754644393921,0.557569682598114,1.0087115536649072,2.224665880203247,-0.5548975467681885,1.0054498284794682,2.2246949672698975,-1.6682262420654297,1.00718127371234,2.2249302864074707,-2.780726432800293,1.0104949899548956,3.3366384506225586,2.78072452545166,1.0287994180638633,3.336764097213745,1.6685670614242554,1.0166105933226937,3.335287570953369,0.5569996237754822,1.008557698388613
-3.3371121883392334,2.782606840133667,1.0860466042086774,-3.3380889892578125,1.6705182790756226,1.0622654496059112,-3.337038516998291,0.5557370781898499,1.0367442424334876,-3.3422868251800537,-0.5563794374465942,1.0175574976690405,-3.3400514125823975,-1.6709564924240112,1.0198860628176771,-3.3382959365844727,-2.782803535461426,1.025436308208882,-2.225412130355835,2.7824084758758545,1.0538461296372406,-2.2251923084259033,1.6713229417800903,1.0480135050341777,-2.2259132862091064,0.5576619505882263,1.0334200544022314,-2.2253847122192383,-0.55195152759552,1.0208948740102641,-2.226032257080078,-1.6689903736114502,1.0289858539887062,-2.226032018661499,-2.781926393508911,1.0323757982366077,-1.1126800775527954,2.7832729816436768,1.0387376380637579,-1.1132986545562744,1.6743937730789185,1.0278949401919089,-1.1102176904678345,0.5612995624542236,1.0215852197651112,-1.115063190460205,-0.5567909479141235,1.0189519742615811,-1.1159635782241821,-1.6723169088363647,1.019701908344432,-1.1112785339355469,-2.779121160507202,1.0169209912065706,0.00047314426046796143,2.7787911891937256,1.023149026028841,-0.00016451322881039232,1.671915054321289,1.0116981906462752,0.0028749266639351845,0.5611754059791565,1.0133855390893587,9.144229989033192e-05,-0.559475302696228,1.014076459377102,-2.2614645786234178e-05,-1.6707886457443237,1.0179480039719784,0.00021797527733724564,-2.7798173427581787,1.0212444513310037,1.1132475137710571,2.7832255363464355,1.0344674908854359,1.1126606464385986,1.6720192432403564,1.0230345457159273,1.1125383377075195,0.5603993535041809,1.0207504012268327,1.1165313720703125,-0.5586012601852417,1.0172702794075303,1.1126868724822998,-1.6688566207885742,1.0120388590004585,1.1139585971832275,-2.7852156162261963,1.0237353294361673,2.2256460189819336,2.7826285362243652,1.0503777412623458,2.226619005203247,1.6710585355758667,1.038877612810611,2.224879264831543,0.5606841444969177,1.023369637394353,2.2248620986938477,-0.5545228719711304,1.0128353654612146,2.2252893447875977,-1.6688944101333618,1.0149452077895693,2.227992296218872,-2.7833821773529053,1.0251734501421743,3.3377304077148438,2.781940460205078,1.0589299154766194,3.3394477367401123,1.670907735824585,1.0357265482209914,3.335664987564087,0.5587879419326782,1.0210744396336668
-3.338305711746216,2.7827866077423096,1.141336773775547,-3.3401079177856445,1.6728390455245972,1.1024138899445823,-3.338989019393921,0.556615948677063,1.0614761488996738,-3.34981632232666,-0.5570412278175354,1.0310644435808354,-3.344459056854248,-1.674020528793335,1.0355487024896137,-3.3416311740875244,-2.7872157096862793,1.0429209121614986,-2.226489305496216,2.784175395965576,1.0882066254988603,-2.2265729904174805,1.6763046979904175,1.0800839535445266,-2.2294769287109375,0.5620044469833374,1.058801935493975,-2.229081153869629,-0.549647867679596,1.0406790366135827,-2.229980230331421,-1.6703327894210815,1.0488116090670518,-2.229994058609009,-2.7850332260131836,1.054601495835959,-1.1134583950042725,2.787548065185547,1.0645492957085663,-1.1157236099243164,1.6814717054367065,1.0520820875391654,-1.1105232238769531,0.5670921206474304,1.0419485875144892,-1.1181658506393433,-0.5576494932174683,1.0340152000561647,-1.1198126077651978,-1.676562786102295,1.0366403298192017,-1.1082533597946167,-2.776728630065918,1.028478658201202,0.0007096159970387816,2.7789523601531982,1.0414204805828922,-0.00028792579541914165,1.6761393547058105,1.020615261822968,0.0056907800026237965,0.5669518113136292,1.029061557037785,0.00015854902449063957,-0.5615842342376709,1.0234523423314386,-2.6267884095432237e-05,-1.6741081476211548,1.0323021394126408,0.0004871327255386859,-2.7825071811676025,1.037519305843889,1.1147934198379517,2.7872588634490967,1.0597349250242405,1.1147223711013794,1.6775802373886108,1.0433600295074574,1.1149518489837646,0.5653712749481201,1.0403516418226355,1.1197788715362549,-0.5604454874992371,1.0284530062340491,1.1130553483963013,-1.6694828271865845,1.0232098987158678,1.116453766822815,-2.7916173934936523,1.04042516350004,2.227128267288208,2.784982681274414,1.0826818356216243,2.230804681777954,1.676283836364746,1.067581495001941,2.228806257247925,0.5653524994850159,1.0450514321141235,2.225370407104492,-0.5555585622787476,1.0242175386026793,2.2267138957977295,-1.670633316040039,1.0287523341663471,2.233675718307495,-2.788708448410034,1.0435989944190078,3.3386988639831543,2.7827279567718506,1.09598607520762,3.3450469970703125,1.676063895225525,1.0627712387144856,3.338869094848633,0.5612873435020447,1.0399865428470365
-3.340181589126587,2.7762551307678223,1.204535866819351,-3.341930389404297,1.674219012260437,1.1507770238742523,-3.3418221473693848,0.5583434104919434,1.0925213972032362,-3.35870361328125,-0.558129072189331,1.046207888994395,-3.3492467403411865,-1.6774382591247559,1.0517084113434247,-3.346290349960327,-2.793764352798462,1.0658837614134244,-2.2267940044403076,2.7841553688049316,1.1295368169918947,-2.228238821029663,1.6829218864440918,1.1186256959587626,-2.234640598297119,0.5688666105270386,1.0908387942165427,-2.2354602813720703,-0.5482933521270752,1.0667180128321343,-2.236422300338745,-1.6720755100250244,1.0748552593887144,-2.2364821434020996,-2.78962779045105,1.0836712405756406,-1.1143207550048828,2.792278289794922,1.0971465797648126,-1.1186645030975342,1.688216209411621,1.0814856951982073,-1.1129347085952759,0.5736233592033386,1.0657406100556546,-1.1216545104980469,-0.5588368773460388,1.0498268235214345,-1.1237618923187256,-1.68129301071167,1.0554307024851732,-1.1028434038162231,-2.7728168964385986,1.0429405574798876,0.00041352713014930487,2.778005599975586,1.0611470712833397,-0.0002769744605757296,1.6815104484558105,1.0299013091456435,0.008153553120791912,0.5727882981300354,1.049337988693296,0.00021211494458839297,-0.5632550716400146,1.033391335170745,-1.6614998457953334e-05,-1.67845618724823,1.0473616288900667,0.0008792176959104836,-2.788160562515259,1.0595219067596189,1.1157828569412231,2.7898073196411133,1.0895757040307217,1.1174436807632446,1.6834099292755127,1.0667246255204372,1.11933171749115,0.5711328983306885,1.0632583239972881,1.1226813793182373,-0.5620543360710144,1.0405743863731913,1.1146045923233032,-1.6718919277191162,1.0385882446840695,1.1196001768112183,-2.7993509769439697,1.0579341610074333,2.2279539108276367,2.786022663116455,1.1219031503722363,2.2364842891693115,1.683438777923584,1.1036011640280776,2.2356152534484863,0.5704673528671265,1.0719339634776406,2.2276341915130615,-0.5576568245887756,1.0404508803338104,2.2304277420043945,-1.6735641956329346,1.0481563264988654,2.2406396865844727,-2.7955968379974365,1.06456693201515,3.3382034301757812,2.7809576988220215,1.1395541798249178,3.352506399154663,1.6829814910888672,1.0955841542333655,3.3454201221466064,0.5639513731002808,1.0656332131773525
-3.3432435989379883,2.757716417312622,1.269431218199461,-3.3424413204193115,1.6717724800109863,1.2029380723014764,-3.3438408374786377,0.5589460134506226,1.1267108861282757,-3.3665366172790527,-0.5594521760940552,1.0619420061186247,-3.353245496749878,-1.6805366277694702,1.0692431998178653,-3.3519604206085205,-2.8017492294311523,1.0920703999996477,-2.224569320678711,2.7782163619995117,1.1731916204765729,-2.2297821044921875,1.6891831159591675,1.1623368184939318,-2.239466667175293,0.5751667618751526,1.1258315171972209,-2.2434985637664795,-0.5480959415435791,1.0965405253991776,-2.244718313217163,-1.6738215684890747,1.1060027708411508,-2.2445037364959717,-2.7947750091552734,1.1189032806009345,-1.1148567199707031,2.793452739715576,1.132838742800086,-1.1212424039840698,1.6920443773269653,1.1115218598693901,-1.1171066761016846,0.5782335996627808,1.09080935589227,-1.124654769897461,-0.5601065754890442,1.0659280412197405,-1.1266608238220215,-1.6853151321411133,1.074792772449582,-1.0972609519958496,-2.769752025604248,1.0604444546178273,-0.000636868760921061,2.7743160724639893,1.0806004549116186,1.2187182619527448e-05,1.6872271299362183,1.0390658001341218,0.008996833115816116,0.5760579705238342,1.0712746814191632,0.00024160838802345097,-0.5644024610519409,1.0433240934014612,1.0532553460507188e-05,-1.6828193664550781,1.0626788093447976,0.0013751386431977153,-2.7964882850646973,1.0849727243855887,1.1148713827133179,2.7872636318206787,1.1204162666499906,1.1200236082077026,1.6872788667678833,1.0906645439490967,1.1243759393692017,0.575389564037323,1.0874228514284185,1.1250680685043335,-0.563395619392395,1.0532133872919076,1.118107557296753,-1.677040457725525,1.0589282437712244,1.1225835084915161,-2.806344509124756,1.0758523445502215,2.2260372638702393,2.781794548034668,1.1631878240332298,2.2410058975219727,1.688783884048462,1.1441050437763625,2.2438297271728516,0.574329137802124,1.1004683807045512,2.2326433658599854,-0.5591911673545837,1.061431913573324,2.23677921295166,-1.677006721496582,1.070212247774034,2.2467923164367676,-2.8021411895751953,1.0871111654788546,3.3339014053344727,2.7725844383239746,1.1848702507391864,3.358367681503296,1.6878939867019653,1.1300279202983075,3.3528127670288086,0.5656061172485352,1.095292491681903
-3.347975969314575,2.72481632232666,1.3302366366908245,-3.3410706520080566,1.6636762619018555,1.2551716527268582,-3.3432888984680176,0.5561878085136414,1.161253494091361,-3.37176251411438,-0.5607109665870667,1.0780593589246563,-3.3559889793395996,-1.6830623149871826,1.0867497286871366,-3.3580892086029053,-2.8098104000091553,1.1193182193786197,-2.2181198596954346,2.7624287605285645,1.2148143863603764,-2.2307870388031006,1.692147970199585,1.2115480296984606,-2.242619276046753,0.5774312615394592,1.1611382316723757,-2.250936985015869,-0.5491471886634827,1.1275194429531985,-2.2532577514648438,-1.6755839586257935,1.1388491575345687,-2.2509825229644775,-2.798759937286377,1.1565494707897597,-1.1147305965423584,2.7868740558624268,1.1675781894401007,-1.1226743459701538,1.6914660930633545,1.1406222031191282,-1.1215972900390625,0.579074501991272,1.1162171132043295,-1.1266404390335083,-0.56125408411026,1.082429478533595,-1.1280542612075806,-1.6880223751068115,1.09437077782306,-1.094594120979309,-2.770326614379883,1.0808753781691485,-0.0022850343957543373,2.76749587059021,1.0989753290936641,0.0006093861884437501,1.6925710439682007,1.048132477823674,0.007787261623889208,0.5755095481872559,1.0925990740508131,0.00025139565696008503,-0.5652925968170166,1.0532417024970346,5.224480992183089e-05,-1.6863054037094116,1.078549498498469,0.0018424063455313444,-2.8057546615600586,1.111472665026813,1.1117585897445679,2.778716564178467,1.1502347686067513,1.1219249963760376,1.688289761543274,1.1144870426804119,1.1282068490982056,0.5764595866203308,1.111921060152381,1.1273281574249268,-0.5647903084754944,1.0659331415891937,1.1234238147735596,-1.684558629989624,1.083610288195341,1.1247601509094238,-2.8111369609832764,1.0943115675747686,2.2192392349243164,2.768324851989746,1.2022678036913566,2.241997003555298,1.6885992288589478,1.1853371272906952,2.2507758140563965,0.5753394961357117,1.1290416363552502,2.239981174468994,-0.5581519603729248,1.0863078128099732,2.244361639022827,-1.680147409439087,1.0931093482226424,2.2507410049438477,-2.806907892227173,1.1104608125165396,3.3236191272735596,2.7539618015289307,1.2276821588650637,3.359854221343994,1.6870192289352417,1.1636870820001057,3.358959913253784,0.5655778050422668,1.1257202728018456
-3.3539345264434814,2.677730083465576,1.386327920101612,-3.3375937938690186,1.6484283208847046,1.3062228222117118,-3.3394315242767334,0.5489488244056702,1.1942729893997601,-3.374359369277954,-0.5615915656089783,1.0942621948123268,-3.3578035831451416,-1.6850974559783936,1.1048820387870364,-3.364084482192993,-2.816296339035034,1.146642062433093,-2.2069430351257324,2.735846519470215,1.252634693376749,-2.2308919429779053,1.6873432397842407,1.260895038239687,-2.243927240371704,0.5741403698921204,1.1955158041343383,-2.2556402683258057,-0.5512526035308838,1.1581054244861297,-2.259575366973877,-1.67771315574646,1.1713973282948427,-2.2540645599365234,-2.801382064819336,1.1936186297908715,-1.1141901016235352,2.7713143825531006,1.1995251244977407,-1.1225829124450684,1.6867424249649048,1.168611459054082,-1.1248615980148315,0.5763800144195557,1.1414014031663828,-1.1276971101760864,-0.5625184774398804,1.099030387878447,-1.1283130645751953,-1.6899080276489258,1.1138031409606628,-1.0968276262283325,-2.7756435871124268,1.1041697366088918,-0.0039054343942552805,2.7597360610961914,1.1165603132099204,0.0014106744201853871,1.6971760988235474,1.0571154812835448,0.0048967087641358376,0.5716604590415955,1.1127260585800105,0.0002585756592452526,-0.566407322883606,1.0633625034913712,8.603315654909238e-05,-1.6889162063598633,1.0946531885415607,0.002121237339451909,-2.813626527786255,1.1379031872675114,1.1071428060531616,2.765963077545166,1.1779824983254366,1.1229383945465088,1.6869629621505737,1.1378508046940259,1.1296738386154175,0.5744296908378601,1.1361973064318591,1.1299482583999634,-0.5665819644927979,1.0784660911485844,1.128732442855835,-1.6919052600860596,1.1102754867375189,1.1260130405426025,-2.813671588897705,1.113138491652935,2.207045316696167,2.7445309162139893,1.237995743446081,2.238649845123291,1.6814759969711304,1.2244536546543532,2.254261016845703,0.5731567740440369,1.157047097824543,2.247736930847168,-0.5534363985061646,1.1161414157152467,2.2509865760803223,-1.6825263500213623,1.1159799756780557,2.252533435821533,-2.809697151184082,1.134101158373087,3.3067798614501953,2.7244277000427246,1.266521991185873,3.356508731842041,1.679227590560913,1.1954605007097416,3.3629510402679443,0.5640422105789185,1.1552701528296165
-3.3608996868133545,2.6199941635131836,1.435908848784893,-3.3323235511779785,1.6267037391662598,1.3540430855676822,-3.3329238891601562,0.5376955270767212,1.2253511269316368,-3.374906301498413,-0.5616344213485718,1.1105428928807668,-3.3592114448547363,-1.6866950988769531,1.1225999586955004,-3.369344472885132,-2.8200528621673584,1.1736886396184854,-2.192061185836792,2.7014217376708984,1.2871142880544357,-2.2297520637512207,1.6708320379257202,1.3066072773859196,-2.2439165115356445,0.5662789344787598,1.2287438215241127,-2.256654739379883,-0.5539337396621704,1.1879251348153048,-2.2617413997650146,-1.6803804636001587,1.203194084160059,-2.253789186477661,-2.8034889698028564,1.2295502581373148,-1.1136113405227661,2.7491345405578613,1.2283824217990331,-1.121111512184143,1.6794803142547607,1.1954845495447808,-1.126121163368225,0.5719851851463318,1.1662584243640595,-1.1282870769500732,-0.5642227530479431,1.1154888204783493,-1.1282068490982056,-1.6918894052505493,1.132943166933983,-1.1041324138641357,-2.7844951152801514,1.130863891609042,-0.00491476571187377,2.7537851333618164,1.133472745411127,0.002233056351542473,1.7009443044662476,1.0660658994615368,0.0012388410978019238,0.566266655921936,1.132049312360614,0.0002942294522654265,-0.56843501329422,1.073512631610065,8.739114855416119e-05,-1.6911872625350952,1.1106557533815793,0.002114152302965522,-2.8183679580688477,1.1639879000112705,1.1020381450653076,2.7517597675323486,1.2034077807441645,1.1230974197387695,1.6844558715820312,1.160631041444867,1.1288851499557495,0.5708040595054626,1.160160828895896,1.1330841779708862,-0.5688564777374268,1.0907967532351903,1.131877064704895,-1.6962083578109741,1.1368458095118694,1.1266677379608154,-2.814943552017212,1.1322288779840164,2.1914265155792236,2.7135403156280518,1.2710222369358235,2.231703519821167,1.6686993837356567,1.260591951750248,2.253727436065674,0.5688064694404602,1.1843537197187834,2.253610610961914,-0.5460125207901001,1.1482325918898277,2.2549571990966797,-1.6841472387313843,1.138656203441351,2.253223419189453,-2.8111400604248047,1.1579234717712097,3.2848336696624756,2.6871161460876465,1.3020111031756096,3.3497135639190674,1.666481852531433,1.224668507717579,3.3646059036254883,0.5616633892059326,1.1836631978974037
-3.3673298358917236,2.5564942359924316,1.4829901219830208,-3.3257741928100586,1.5996849536895752,1.397581203274458,-3.3247838020324707,0.5237289071083069,1.2547344443127804,-3.3744044303894043,-0.5606914162635803,1.1271815286502533,-3.3607587814331055,-1.6879137754440308,1.140652197442978,-3.373434543609619,-2.8210086822509766,1.2006013321057254,-2.1752023696899414,2.663675308227539,1.318960550121992,-2.2272980213165283,1.6420854330062866,1.3476737619862251,-2.243222951889038,0.5564038753509521,1.2611454011425667,-2.2545578479766846,-0.5566869974136353,1.2172633791640692,-2.2595460414886475,-1.683341145515442,1.2344822560921602,-2.2514142990112305,-2.8058245182037354,1.264784811280697,-1.112789511680603,2.724073648452759,1.2546561002657108,-1.118738055229187,1.6714543104171753,1.2214464234486513,-1.1257123947143555,0.5679941773414612,1.1910057579651765,-1.1288892030715942,-0.5664460062980652,1.131889154829114,-1.128396987915039,-1.6945720911026,1.1519684345946006,-1.114532709121704,-2.794041872024536,1.1587128725573712,-0.00520103657618165,2.7506160736083984,1.1500056967810086,0.002903158310800791,1.7039568424224854,1.0750961628854565,-0.0022019988391548395,0.5612817406654358,1.1510586265400342,0.0003816420794464648,-0.5717470049858093,1.0835479717627459,4.7020643251016736e-05,-1.6936389207839966,1.126597358427971,0.0018382160924375057,-2.8196942806243896,1.1899564162567549,1.097059726715088,2.7379140853881836,1.2266357676610642,1.122549057006836,1.6816396713256836,1.182962653256982,1.126969814300537,0.567397952079773,1.1840244197026186,1.1364824771881104,-0.5713981986045837,1.1030984514504962,1.131844401359558,-1.6962112188339233,1.162706343226164,1.1272032260894775,-2.8162121772766113,1.1516662228778296,2.1746017932891846,2.6799845695495605,1.3019258202538184,2.2227413654327393,1.6531873941421509,1.2939632539376906,2.250354766845703,0.5639171600341797,1.2112319550589017,2.2559409141540527,-0.5398037433624268,1.1804107189849309,2.255974292755127,-1.6853657960891724,1.1613376946673089,2.2539889812469482,-2.811586618423462,1.1820272247419052,3.2602500915527344,2.6467220783233643,1.335480320595234,3.340951919555664,1.6523609161376953,1.251165015988081,3.3641414642333984,0.5590769052505493,1.2111900549307757
