tick,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
4803,-0.001619475777261,0.002162263728678,-0.003772172378376,0,0,0,0,0.995695292949677
4805,-0.001561752171256,0.007458032574505,-0.003980305045843,0,0,0,0,0.996161818504334
4807,-0.002067052060738,0.008744433522224,-0.005870430264622,0,0,0,0,0.996689200401306
4809,-0.001455662306398,0.004993791691959,-0.007260414306074,0,0,0,0,0.997116267681122
4811,0.00053915719036,-0.001200699014589,-0.006902166176587,0,0,0,0,0.997323751449585
4813,0.001973397331312,-0.003328276099637,-0.003437589621171,0,0,0,0,0.997067749500275
4815,0.001636224100366,-0.001951987156644,-0.001063326490112,0,0,0,0,0.996549665927887
4817,-0.000794812338427,-0.00111472257413,-0.00215961644426,0,0,0,0,0.996039092540741
4819,-0.001241294085048,0.000726782425772,-0.001068890560418,0,0,0,0,0.995517790317535
4821,0.000346850662027,0.003145342692733,-0.002471785293892,0,0,0,0,0.995524823665619
4823,0.002023925073445,0.002808657940477,-0.005200877320021,0,0,0,0,0.995828092098236
4825,0.002136700088158,0.000447614380391,-0.005896176677197,0,0,0,0,0.995769381523132
4827,0.000845324946567,0.00022257702949,-0.002926501445472,0,0,0,0,0.995442092418671
4829,-0.002593238605186,0.001038848189637,0.000142174656503,0,0,0,0,0.995153069496155
4831,-0.004025503061712,-0.001025827368721,0.000887101283297,0,0,0,0,0.995082855224609
4833,-0.001839321223088,-0.004895213991404,-0.00038119754754,0,0,0,0,0.995017945766449
4835,-0.001782700419426,-0.006874050479382,-0.002503264928237,0,0,0,0,0.994893968105316
4837,-0.003100573318079,-0.00327004888095,-0.004294839221984,0,0,0,0,0.995108664035797
4839,-0.002461056225002,0.002357421675697,-0.00269777351059,0,0,0,0,0.995475709438324
4841,-0.000766271783505,0.005274034105241,-5.8914960391121E-05,0,0,0,0,0.995481610298157
4843,3.08640774164814E-05,0.003377102315426,-0.000525681534782,0,0,0,0,0.995243549346924
4845,0.000437403301476,0.000854583864566,-7.88748147897422E-05,0,0,0,0,0.995174467563629
4847,-0.000230270452448,-0.002191578503698,0.001026554498822,0,0,0,0,0.99526309967041
4849,-0.00297590973787,-0.005558467935771,-0.001311513711698,0,0,0,0,0.995499968528748
4851,-0.003044381737709,-0.004257660359144,-0.004916626028717,0,0,0,0,0.995737135410309
4853,0.00067074818071,-0.002208702964708,-0.004064430017024,0,0,0,0,0.995872020721436
4855,0.000126976607135,-0.00335274101235,-0.004345158580691,0,0,0,0,0.99606055021286
4857,-0.003862976096571,-0.004870738368481,-0.006021681707352,0,0,0,0,0.996403217315674
4859,-0.005766085349023,-0.004824276082218,-0.004074017051607,0,0,0,0,0.996683657169342
4861,-0.005155134946108,-0.003150782780722,-0.001209256006405,0,0,0,0,0.996439337730408
4863,-0.004465732257813,-0.002521886257455,-0.000405919476179,0,0,0,0,0.995926320552826
4865,-0.003230295609683,-0.00099102105014,-0.001413965364918,0,0,0,0,0.995518386363983
4867,-0.001534619019367,0.001635878230445,-0.003584312507883,0,0,0,0,0.995405435562134
4869,-0.003021413227543,0.002966854721308,-0.003384572919458,0,0,0,0,0.995270431041718
4871,-0.005094698164612,0.002958363620564,-0.001820330740884,0,0,0,0,0.995015919208527
4873,-0.005437007173896,0.001906843739562,-0.001624949742109,0,0,0,0,0.994902193546295
4875,-0.00347253982909,0.00174895953387,6.96128790877992E-06,0,0,0,0,0.994889855384827
4877,0.00030557156424,0.003997983876616,-6.41344086034223E-05,0,0,0,0,0.994939565658569
4879,0.003319734008983,0.004324248060584,-0.000859029241838,0,0,0,0,0.994973123073578
4881,0.003917181864381,0.00497194333002,0.0005880742101,0,0,0,0,0.994635045528412
4883,0.00168807967566,0.006756308488548,0.001442153588869,0,0,0,0,0.994057297706604
4885,-0.000653591996524,0.006469677668065,0.001994404476136,0,0,0,0,0.9940065741539
4887,-0.003315022215247,0.002629362279549,0.001359858433716,0,0,0,0,0.994625389575958
4889,-0.005063391290605,5.34180071554147E-05,-0.000447020080173,0,0,0,0,0.995491504669189
4891,-0.003139183158055,0.000124798476463,-0.003192215925083,0,0,0,0,0.996364593505859
4893,7.88770466897404E-06,-0.000201084374567,-0.004392980597913,0,0,0,0,0.997464835643768
4895,0.000543160305824,0.001473047188483,-0.002180808689445,0,0,0,0,0.998450517654419
4897,3.22652740578633E-05,0.005068794824183,9.81631092145108E-05,0,0,0,0,0.998950123786926
4899,-0.000898195139598,0.005323993973434,0.002082973252982,0,0,0,0,0.998823523521423
4901,-0.00227907858789,0.002134790411219,0.000123902049381,0,0,0,0,0.99819403886795
4903,-5.18400702276267E-05,-6.82867394061759E-05,-0.00337892677635,0,0,0,0,0.997109532356262
4905,0.002539583714679,0.001702085137367,-0.002249354263768,0,0,0,0,0.995800197124481
4907,0.002552807331085,0.005679137073457,-0.000734590867069,0,0,0,0,0.994837880134583
4909,0.002631809329614,0.009269206784666,-0.002430336782709,0,0,0,0,0.99450010061264
4911,0.003594429465011,0.008458341471851,-0.005390835460275,0,0,0,0,0.994555056095123
4913,0.004173459485173,0.00342479115352,-0.006604084745049,0,0,0,0,0.994909763336182
4915,0.000300861371215,-0.00018554815324,-0.004397008102387,0,0,0,0,0.995333671569824
4917,-0.005258139688522,-0.000525698938873,-0.001927813049406,0,0,0,0,0.995534121990204
4919,-0.002067558234558,0.001920856186189,-0.000299998937408,0,0,0,0,0.995857536792755
4921,0.005274730734527,0.004201530478895,0.000256716244621,0,0,0,0,0.996389269828796
4923,0.004710780456662,0.003290385240689,-0.002986355917528,0,0,0,0,0.996736645698547
4925,0.001364303170703,-0.000624716747552,-0.005563456565142,0,0,0,0,0.996953785419464
4927,-0.000413180823671,-0.002160713775083,-0.004185296595097,0,0,0,0,0.99700003862381
4929,-0.00105899584014,-0.000250279059401,-0.001356091466732,0,0,0,0,0.996740341186523
4931,0.000692891480867,0.003457759972662,0.001139550004154,0,0,0,0,0.996259033679962
4933,0.002534762490541,0.005322020500898,-0.001148194307461,0,0,0,0,0.995800316333771
4935,0.003885276149958,0.001590169616975,-0.004588040523231,0,0,0,0,0.995532393455505
4937,0.002281764755026,-0.001872451044619,-0.002607043366879,0,0,0,0,0.99531090259552
4939,-0.000482079805806,-0.002002412686124,0.000848775845952,0,0,0,0,0.994907259941101
4941,-0.001314982306212,-0.000690208282322,0.001744110835716,0,0,0,0,0.994494736194611
4943,0.000898071448319,-0.001701779430732,-3.41956656484399E-05,0,0,0,0,0.994242489337921
4945,0.002665945328772,-0.004283150658011,-0.005180736072361,0,0,0,0,0.994130730628967
4947,0.001533976872452,-0.006455912254751,-0.008287975564599,0,0,0,0,0.994217932224274
4949,-0.000921496830415,-0.007425502873957,-0.00470236223191,0,0,0,0,0.994269788265228
4951,-0.002067532390356,-0.005536726210266,-0.001036320813,0,0,0,0,0.99431324005127
4953,-0.002641221508384,-0.00167769822292,-0.002258474007249,0,0,0,0,0.994483053684235
4955,-0.001247927779332,0.001118611660786,-0.004655656404793,0,0,0,0,0.994824349880219
4957,0.000743927434087,0.000180246759555,-0.00475496519357,0,0,0,0,0.995055139064789
4959,0.000556167273317,-0.002416786970571,-0.003300999291241,0,0,0,0,0.995136201381683
4961,5.03647934237961E-05,-0.003781805746257,-0.001578455907293,0,0,0,0,0.995313346385956
4963,0.001598052913323,-0.004071273840964,-0.002119246870279,0,0,0,0,0.995862543582916
4965,0.001956682885066,-0.002129219705239,-0.005627085920423,0,0,0,0,0.996585309505463
4967,0.000537639891263,0.002352124312893,-0.00682854000479,0,0,0,0,0.99719762802124
4969,0.001342869945802,0.004934650380164,-0.003086248412728,0,0,0,0,0.997651755809784
4971,0.001748385839164,0.005244854371995,-0.000452888401924,0,0,0,0,0.997800886631012
4973,0.001274987356737,0.001462531974539,-0.00346658215858,0,0,0,0,0.997609376907349
4975,0.000399714772357,-0.002281078835949,-0.006541319657117,0,0,0,0,0.997238218784332
4977,0.001727540628053,-0.000997336697765,-0.003732783021405,0,0,0,0,0.996819496154785
