tick,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
3210,-0.000837931060232,-0.00068686431041,0.001893822103739,0,0,0,0,0.994975864887238
3212,-0.001810658606701,-0.002204308751971,-0.000303763896227,0,0,0,0,0.994902908802033
3214,-0.001366921351291,-0.002505513140932,-0.0012177368626,0,0,0,0,0.995054006576538
3216,-0.001006918377243,-0.002713022287935,9.58649834501557E-05,0,0,0,0,0.995427906513214
3218,0.000456765090348,-0.002262223744765,0.001340680522844,0,0,0,0,0.995506286621094
3220,0.001078150118701,-0.002010708674788,0.001276589813642,0,0,0,0,0.995175123214722
3222,0.000458482740214,-0.001753422431648,0.000211834034417,0,0,0,0,0.994945585727692
3224,-0.000312901916914,-0.000171933628735,-0.000238084627199,0,0,0,0,0.994833290576935
3226,-0.000126008104417,0.001555248629302,-0.000662963022478,0,0,0,0,0.994517683982849
3228,0.000892761570867,0.000504036666825,-0.000545537273865,0,0,0,0,0.994242012500763
3230,0.000429317093221,-0.000995452166535,-0.000684257480316,0,0,0,0,0.994466185569763
3232,-0.00166717893444,0.001798491692171,-0.0008410710725,0,0,0,0,0.995017886161804
3234,-0.002904619090259,0.003808978945017,-0.000430061510997,0,0,0,0,0.995422542095184
3236,-0.001436632592231,0.000387186970329,0.000791956437752,0,0,0,0,0.995724022388458
3238,0.001066415337846,-0.002635980723426,0.002993774833158,0,0,0,0,0.99594259262085
3240,0.001436003833078,-0.004624144174159,0.004165008664131,0,0,0,0,0.995750188827515
3242,-2.87645380012691E-05,-0.005066601093858,0.001041347975843,0,0,0,0,0.995613098144531
3244,-0.00171658245381,-0.00437153223902,-0.001409467426129,0,0,0,0,0.995936334133148
3246,-0.001083524664864,-0.002860882785171,0.001133461133577,0,0,0,0,0.996230006217957
3248,0.003161327680573,-0.000280958774965,0.004523432347924,0,0,0,0,0.996152579784393
3250,0.003253847360611,0.001684216666035,0.003033799817786,0,0,0,0,0.995724201202393
3252,0.001576246577315,5.86369424127042E-05,-0.00137770967558,0,0,0,0,0.995197534561157
3254,0.002579326974228,-0.001894718036056,-0.003677648957819,0,0,0,0,0.995095551013947
3256,0.003590070642531,-0.001738645951264,-0.004389252979308,0,0,0,0,0.995451092720032
3258,0.00350157590583,-4.26481492468156E-05,-0.001473556272686,0,0,0,0,0.995966255664825
3260,0.000805952819064,0.002309864154086,0.003985911142081,0,0,0,0,0.996452689170837
3262,-0.000875010096934,0.000949642912019,0.003897208021954,0,0,0,0,0.996964454650879
3264,-0.001209915266372,-0.003068717895076,0.000692315341439,0,0,0,0,0.997378468513489
3266,-0.002270535798743,-0.004007283132523,-0.000173400607309,0,0,0,0,0.997316479682922
3268,-0.002513590967283,-0.001402673195116,0.000719012576155,0,0,0,0,0.997093498706818
3270,-0.000416537746787,0.002880487823859,0.002593799959868,0,0,0,0,0.996928572654724
