tick,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
28717,-0.198592707514763,0.257016539573669,0.019707817584276,52630.03125,2040,-4699,2659,1.48756015300751
28719,-0.202903762459755,0.276688009500504,0.017127921804786,52630.03125,1523,-5521,2750,1.48230743408203
28721,-0.197253406047821,0.302173882722855,0.016445377841592,51983.36328125,392,-5836,2643,1.47690308094025
28723,-0.194801211357117,0.327114254236221,0.014514378271997,51983.36328125,978,-6854,2731,1.47136473655701
28725,-0.19345086812973,0.341104090213776,0.007720970548689,51983.36328125,720,-5721,2589,1.4650582075119
28727,-0.18918588757515,0.331508994102478,-0.002463349606842,51983.36328125,826,-4601,2536,1.45314407348633
28729,-0.190807849168777,0.317994713783264,-0.006979075726122,51983.36328125,967,-3571,2491,1.44318521022797
28731,-0.194899544119835,0.322107404470444,-0.006867073476315,51361.12890625,1587,-5575,2488,1.43628036975861
28733,-0.187084764242172,0.331940501928329,-0.004204192664474,51361.12890625,311,-5592,2513,1.42897689342499
28735,-0.175241321325302,0.334338754415512,-0.003787446999922,51361.12890625,192,-5798,2529,1.42147099971771
28737,-0.176062062382698,0.330022543668747,-0.008181009441614,51361.12890625,837,-4704,2488,1.41596138477325
28739,-0.184100210666657,0.32255682349205,-0.011343089863658,51361.12890625,1830,-5044,2442,1.41201233863831
28741,-0.185843363404274,0.322831124067307,-0.013863351196051,51012.9453125,1114,-5079,2451,1.40835905075073
28743,-0.185751095414162,0.3248231112957,-0.018698422238231,51012.9453125,1348,-5903,2358,1.40580320358276
28745,-0.193658903241158,0.312119483947754,-0.019793197512627,51012.9453125,1740,-4145,2411,1.40526926517487
28747,-0.198708385229111,0.285044878721237,-0.018316129222512,51012.9453125,2008,-3318,2360,1.40563249588013
28749,-0.192828506231308,0.249768033623695,-0.021987203508616,51012.9453125,819,-1765,2396,1.40118801593781
28751,-0.19232040643692,0.226959899067879,-0.026543863117695,50518.33203125,1591,-2802,2258,1.39832663536072
28753,-0.204471617937088,0.225920036435127,-0.025573305785656,50518.33203125,2357,-3983,2370,1.3975545167923
28755,-0.204511493444443,0.226158410310745,-0.025352671742439,50518.33203125,1914,-4551,2272,1.39863729476929
28757,-0.183396026492119,0.210038706660271,-0.024612946435809,50518.33203125,-243,-2783,2376,1.39658272266388
28759,-0.170609444379807,0.17978248000145,-0.021778440102935,50518.33203125,522,-1718,2309,1.39236104488373
28761,-0.173814937472343,0.14564660191536,-0.020322596654296,49703.74609375,1431,-656,2405,1.39012289047241
28763,-0.176237210631371,0.112189054489136,-0.020923545584083,49703.74609375,1765,-466,2311,1.38448989391327
28765,-0.179010108113289,0.084417410194874,-0.022941144183278,49703.74609375,1547,-292,2387,1.37659060955048
28767,-0.184225082397461,0.066938385367394,-0.025038249790669,49703.74609375,2160,-914,2256,1.36964762210846
28769,-0.189622640609741,0.050992913544178,-0.026265975087881,49703.74609375,1962,-695,2362,1.3630348443985
28771,-0.195764452219009,0.035160716623068,-0.027331065386534,49277.24609375,2485,-538,2224,1.35739958286285
28773,-0.194250240921974,0.02281297557056,-0.029026906937361,49277.24609375,1612,-569,2341,1.34637331962585
28775,-0.188711374998093,0.022532572969794,-0.026250163093209,49277.24609375,1608,-1464,2233,1.33715415000916
28777,-0.184152379631996,0.026226129382849,-0.020920488983393,49277.24609375,1325,-1782,2395,1.33255314826965
28779,-0.172708168625832,0.009702074341476,-0.019899193197489,49277.24609375,1004,-103,2305,1.33125567436218
28781,-0.154033809900284,-0.018556594848633,-0.018675200641155,48751.88671875,-47,1140,2410,1.33344483375549
28783,-0.142015874385834,-0.046724501997233,-0.016150161623955,48751.88671875,536,1644,2342,1.33664345741272
28785,-0.140474602580071,-0.065737172961235,-0.017598494887352,48751.88671875,1043,1171,2417,1.33878862857819
28787,-0.1400056630373,-0.062001124024391,-0.021447211503983,48751.88671875,1393,-379,2277,1.34236145019531
28789,-0.138148188591003,-0.055208757519722,-0.026033531874418,48751.88671875,1045,-805,2358,1.34163320064545
28791,-0.137519240379334,-0.067621819674969,-0.027580102905631,48405.3203125,1391,884,2201,1.33840119838715
28793,-0.133451700210571,-0.087436057627201,-0.025690164417029,48405.3203125,876,1587,2358,1.33300507068634
28795,-0.12336803227663,-0.093539506196976,-0.02130687981844,48405.3203125,530,882,2269,1.32383811473846
28797,-0.11811176687479,-0.088701650500298,-0.017011007294059,48405.3203125,620,-124,2416,1.30984807014465
28799,-0.118383184075356,-0.080027289688587,-0.01451004203409,48405.3203125,1237,-354,2350,1.30369091033936
28801,-0.101628199219704,-0.061048246920109,-0.014520436525345,48248.234375,-393,-1503,2433,1.29873692989349
28803,-0.077456682920456,-0.04549678042531,-0.01550992205739,48248.234375,-1138,-1375,2343,1.29123425483704
28805,-0.072922542691231,-0.040999215096235,-0.014224277809262,48248.234375,98,-736,2434,1.2882091999054
28807,-0.074926525354385,-0.037785474210978,-0.012152529321611,48248.234375,736,-595,2384,1.28715515136719
28809,-0.066625155508518,-0.040635876357555,-0.009212174452841,48248.234375,-232,-200,2469,1.28498303890228
28811,-0.057925697416067,-0.053231969475746,-0.007534923031926,48022.73046875,-268,805,2437,1.28232395648956
28813,-0.062187105417252,-0.055115606635809,-0.009981779381633,48022.73046875,628,-40,2465,1.27451014518738
28815,-0.067861318588257,-0.037258092314005,-0.00867860391736,48022.73046875,952,-1620,2426,1.26571691036224
28817,-0.062168143689633,-0.007518669124693,-0.00496616307646,48022.73046875,-55,-2974,2500,1.25645422935486
28819,-0.049005884677172,0.019942682236433,-0.004260677378625,48022.73046875,-685,-3244,2488,1.24712562561035
28821,-0.038545701652765,0.030956326052547,-0.0073436293751,47056.83203125,-716,-2198,2486,1.23540890216827
28823,-0.02583440206945,0.029733698815107,-0.009775740094483,47056.83203125,-1031,-1370,2426,1.22181963920593
