tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
54626,2.57766246795654,0.047261219471693,0.107109114527702,44227,-5513,-2266,2305,1.00683927536011
54628,2.50409889221191,0.044825319200754,0.108582451939583,44227,-4542,-3340,2344,1.00567507743835
54630,2.41554546356201,0.039357651025057,0.108463741838932,44227,-1272,-2927,2342,1.00226271152496
54632,2.31893181800842,0.022439137101173,0.107722379267216,44227,266,-1461,2350,1.00185608863831
54634,2.23209190368652,0.007817856036127,0.108716323971748,44227,1025,-1398,2362,1.00286304950714
54636,2.15060663223267,0.010457580909133,0.11160284280777,44227,1006,-3191,2411,1.0071234703064
54638,2.06616926193237,0.024832595139742,0.114563912153244,44227,4058,-4649,2454,1.00992047786713
54640,1.97572576999664,0.032340124249458,0.116127759218216,44227,5445,-4142,2492,1.01309084892273
54642,1.88432562351227,0.025615494698286,0.115343168377876,44227,7369,-2584,2482,1.01491510868073
54644,1.78842461109161,0.009393776766956,0.115310959517956,44227,8814,-1329,2497,1.01089489459991
54646,1.68920600414276,-0.003713745158166,0.117110885679722,44227,11130,-1378,2519,1.00482261180878
54648,1.59432601928711,-0.00493182009086,0.117404848337173,40876,11775,-2553,2533,1.00153851509094
54650,1.50761294364929,-0.011301659047604,0.116711586713791,40876,12693,-1910,2525,0.99974650144577
54652,1.42744731903076,-0.028449211269617,0.114544607698917,40876,12915,-485,2505,1.0006023645401
54654,1.35743200778961,-0.036614447832108,0.113590940833092,40876,13300,-1220,2494,1.0014523267746
54656,1.28850829601288,-0.032285738736391,0.111644580960274,40876,13918,-2549,2475,1.00235331058502
54658,1.2211617231369,-0.030469872057438,0.108436554670334,39537,15107,-2334,2436,1.00226402282715
54660,1.16777420043945,-0.034410141408444,0.105953171849251,39537,14193,-1673,2410,1.00279712677002
54662,1.12289893627167,-0.041241087019444,0.104277648031712,39537,14239,-1247,2390,1.00398313999176
54664,1.08455288410187,-0.050468999892473,0.101515419781208,39537,13810,-809,2358,1.00517094135284
54666,1.06400430202484,-0.058476995676756,0.09489019215107,39537,12442,-771,2279,1.00807285308838
54668,1.05557119846344,-0.061655599623919,0.090487360954285,39537,10872,-1170,2225,1.01464402675629
54670,1.05331563949585,-0.065978460013867,0.089426785707474,36185,10300,-969,2212,1.02378082275391
54672,1.06025612354279,-0.072867542505264,0.083859607577324,36185,8715,-545,2142,1.03260946273804
54674,1.06982505321503,-0.076377779245377,0.079943306744099,36185,8261,-813,2095,1.04015600681305
