tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
56347,-0.009169930592179,-0.053340137004852,0.157646507024765,24760,298,-1545,1437,0.696256756782532
56349,-0.010831133462489,-0.058675695210695,0.153110653162003,24760,1649,-1436,1382,0.692227303981781
56351,-0.010371561162174,-0.05696577206254,0.15205092728138,24553,1438,-2138,1369,0.68324887752533
56353,-0.018673032522202,-0.048067759722471,0.152063444256783,24344,2480,-3035,1370,0.689121186733246
56355,-0.014412797056139,-0.044310968369246,0.153421148657799,24344,1152,-2566,1386,0.686720550060272
56357,-0.019655855372548,-0.039589449763298,0.149999305605888,24344,2208,-2757,1345,0.684846758842468
56359,-0.013711199164391,-0.039301678538323,0.148124173283577,24344,983,-2292,1322,0.678016006946564
56361,-0.019863216206431,-0.040557280182839,0.146994054317474,24344,2315,-2112,1309,0.677072286605835
56363,-0.012495866976678,-0.040520519018173,0.151725128293037,27475,826,-2213,1365,0.671988010406494
56365,-0.014492253772914,-0.039217106997967,0.155669391155243,27475,1802,-2366,1413,0.670146346092224
56367,-0.000304687593598,-0.039104543626309,0.15515211224556,27475,-96,-2220,1407,0.661953687667847
56369,0.004079891834408,-0.038109719753265,0.150083810091019,27475,796,-2328,1346,0.672929406166077
56371,0.019221264868975,-0.031173937022686,0.151112422347069,27475,-587,-3037,1358,0.676170468330383
56373,0.016110772266984,-0.024759979918599,0.151465311646462,38867,1299,-3113,1363,0.67458039522171
56375,0.014248450286687,-0.026892514899373,0.151429325342178,38867,1211,-2195,1362,0.667222261428833
56377,-0.009097094647586,-0.039553169161081,0.150946587324142,38867,3826,-889,1356,0.675963997840881
56379,-0.0133385816589,-0.049554862082005,0.155633300542831,38867,2013,-923,1413,0.673637568950653
56381,-0.012289279140532,-0.05290637537837,0.156308844685555,38867,1463,-1521,1421,0.681723356246948
56383,0.002377471420914,-0.042787753045559,0.156064316630363,38867,-187,-3042,1418,0.677757740020752
56385,0.0081731621176,-0.033850759267807,0.149438247084618,52000,583,-3103,1338,0.683176100254059
56387,0.022987321019173,-0.035165846347809,0.148631632328033,52000,-624,-2026,1329,0.686987817287445
56389,0.025165852159262,-0.037614706903696,0.145277827978134,52000,595,-1864,1289,0.692572295665741
56391,0.040616597980261,-0.029636332765222,0.143979787826538,52000,-1060,-3044,1273,0.69647228717804
56393,0.034942373633385,-0.017662059515715,0.141272708773613,52000,1165,-3683,1241,0.70526522397995
56395,0.023752797394991,-0.006838061846793,0.141287252306938,52000,1927,-3774,3222,0.717403113842011
56397,0.002619302133098,-0.004821410868317,0.139337748289108,52000,3344,-2934,3199,0.734819769859314
56399,-0.016917254775763,-0.005073320120573,0.141306936740875,52000,3587,-2693,3222,0.746372520923615
56401,-0.03079542145133,0.008266943506897,0.143305033445358,52000,3299,-4319,3246,0.75971519947052
56403,-0.030624274164438,0.0268514752388,0.142350256443024,52000,1911,-5224,3235,0.780212044715881
56405,-0.0389114767313,0.038750719279051,0.138019129633904,52000,2921,-4794,11440,0.802508890628815
56407,-0.053429033607245,0.044828198850155,0.133082315325737,52000,3868,-4354,11381,0.827634990215302
56409,-0.060846071690321,0.044605635106564,0.128197744488716,52000,3306,-3720,11322,0.843612253665924
56411,-0.074041359126568,0.051939554512501,0.118133664131165,52000,4193,-4648,11201,0.864343047142029
56413,-0.089279226958752,0.076074555516243,0.102263756096363,52000,4702,-6810,11010,0.88527113199234
56415,-0.111675009131432,0.096584916114807,0.071549393236637,52000,5929,-6910,10641,0.911319851875305
56417,-0.127502083778381,0.113907299935818,0.028791047632694,52000,5585,-6940,25544,0.934944808483124
56419,-0.145003110170364,0.125888153910637,-0.019344137981534,52000,6181,-6715,24965,0.950177013874054
56421,-0.166820719838142,0.13411246240139,-0.064006045460701,52000,7049,-6504,24429,0.960518896579742
56423,-0.189018949866295,0.140865504741669,-0.102209731936455,52000,7635,-6568,23969,0.9679034948349
56425,-0.214723691344261,0.157209813594818,-0.151991128921509,52000,8500,-7854,23372,0.975143015384674
56427,-0.224349528551102,0.189095810055733,-0.220471397042274,52000,7324,-10153,32000,0.983798146247864
56429,-0.222626626491547,0.221726179122925,-0.298529624938965,52000,6154,-10880,32000,0.995316922664642
56431,-0.230408921837807,0.244935378432274,-0.37822613120079,52000,7385,-10540,32000,1.00289928913116
56433,-0.250798344612122,0.277631282806396,-0.458925664424896,52000,9053,-12142,31798,1.01417088508606
56435,-0.27944678068161,0.314075529575348,-0.543128848075867,52000,10600,-13424,30785,1.02311599254608
56437,-0.304254233837128,0.345515310764313,-0.628202080726624,52000,10712,-13553,29764,1.03441143035889
56439,-0.333062410354614,0.367054104804993,-0.714074790477753,52000,13447,-13207,32000,1.04296314716339
56441,-0.35938435792923,0.417928695678711,-0.804307162761688,52000,13725,-17158,32000,1.04322052001953
56443,-0.389742493629456,0.487317144870758,-0.895692586898804,52000,14938,-20677,31521,1.04668474197388
56445,-0.423418611288071,0.537802577018738,-0.981938779354095,52000,15943,-19797,30486,1.05236947536469
56447,-0.444669663906097,0.570034444332123,-1.06344699859619,52000,15354,-18944,29504,1.0663446187973
56449,-0.459110528230667,0.590184807777405,-1.14234697818756,52000,15756,-18140,28567,1.07984828948975
56451,-0.480271965265274,0.627326965332031,-1.22140884399414,52000,17093,-20944,27615,1.09181380271912
56453,-0.508334636688232,0.670738875865936,-1.30005657672882,52000,18344,-22439,26671,1.10064446926117
56455,-0.534005761146545,0.714786946773529,-1.37884747982025,52000,18884,-23796,25721,1.10717689990997
56457,-0.567306756973267,0.762012600898743,-1.45341157913208,52000,20313,-25058,24826,1.11823511123657
56459,-0.596971988677979,0.815562427043915,-1.52048015594482,52000,20838,-27232,24015,1.12024307250977
56461,-0.627609729766846,0.874830484390259,-1.5778671503067,52000,23133,-28992,23353,1.12629926204681
56463,-0.663997054100037,0.935110569000244,-1.63103556632996,52000,24761,-30838,22710,1.12861156463623
56465,-0.696983277797699,0.987885415554047,-1.68277287483215,52000,25081,-31143,22089,1.13160407543182
56467,-0.719288527965546,1.02518224716187,-1.73126745223999,52000,24809,-30933,21500,1.13511431217194
56469,-0.735676229000092,1.05943298339844,-1.77469146251678,52000,24545,-31314,20979,1.14098513126373
