Timestamp,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
266082,-0.104871362447739,-0.075138099491596,0.051963992416859,55104.98828125,3630,2390,2866,1.01474809646606
266102,-0.193747207522392,-0.091222636401653,0.02586916834116,54965.21484375,464,1609,1696,0.99075585603714
266122,-0.063577950000763,-0.079530239105225,0.040640328079462,55000.37890625,2293,2038,2183,0.99657267332077
266142,-0.038445547223091,-0.109401501715183,0.012801455333829,54864.70703125,3139,2047,1854,0.99492073059082
266162,0.007689563557506,-0.124649986624718,-0.007956116460264,54794.7734375,3012,759,2959,0.982192993164062
266182,-0.030820297077298,-0.10006295144558,0.000769424135797,54610.52734375,-765,-11,2352,1.00566339492798
266202,0.027520565316081,-0.145498260855675,-0.007759479340166,54585.23046875,1106,2615,2679,1.00034821033478
266222,0.049709431827068,-0.171318471431732,-0.036028638482094,54197.359375,2423,1496,1871,0.98187243938446
266242,0.015842074528337,-0.052853468805552,-0.001000683871098,54062.26953125,1294,1457,2290,0.978133618831634
266262,0.066704288125038,-0.158002778887749,-0.052194993942976,53984.84765625,-401,1801,1738,0.995793700218201
266282,0.065111570060253,-0.069372996687889,-0.038991302251816,53922.16015625,3749,-133,2757,0.985007703304291
266302,0.039678364992142,-0.069778271019459,-0.040991928428412,53980.44921875,3072,2113,3097,0.970645904541016
266322,0.108772270381451,-0.163912117481232,-0.067223057150841,53476.98046875,4336,1029,1895,0.97505533695221
266342,0.017371797934175,-0.099116966128349,-0.018276691436768,53453.48828125,2518,3646,3037,0.982435047626495
266362,0.009277713485062,-0.145545184612274,-0.042761359363794,53350.3125,136,2376,2217,0.970628142356873
266382,0.014518520794809,-0.114151298999786,-0.085636623203755,53358.17578125,-3071,2541,2280,0.975919127464294
266402,-0.077776126563549,0.002142586745322,-0.016185306012631,53446.5859375,383,-1494,1841,0.97478437423706
266422,-0.05676019191742,0.06854160875082,-0.043694034218788,53537.86328125,1836,1527,1736,0.959718108177185
266442,-0.038776822388172,0.029486438259482,-0.06426002830267,53494.66796875,2826,1672,2103,0.979278147220612
266462,-0.076435193419457,0.035798024386168,-0.025365862995386,53516.80078125,2037,1555,2611,0.968855082988739
266482,-0.100033409893513,-0.008305627852678,-0.053676716983318,53494.45703125,2656,1536,2261,0.980358064174652
266502,-0.064368613064289,-0.0059784501791,-0.050918512046337,53473.859375,1310,1808,2295,0.975589036941528
266522,-0.044170431792736,0.049707684665918,-0.026312811300159,53840.56640625,1901,386,2301,0.97974169254303
266542,0.028561836108565,0.069801233708859,-0.035264816135168,53912.69921875,2683,2014,1707,0.983199656009674
266562,0.046438284218311,0.05308124423027,-0.035783383995295,53890.84375,2759,657,1911,0.967948973178864
266582,0.050557550042868,0.079511128365994,-0.017361076548696,53923.24609375,3210,2345,1872,0.982886672019958
266602,0.080609850585461,-0.002581001026556,-0.062916308641434,53897.484375,2034,1828,1885,0.9872927069664
266622,0.031167270615697,-0.006133912596852,-0.012336959131062,53906.75390625,2057,102,1980,0.993366479873657
266642,0.049471698701382,0.080667734146118,-0.010391375049949,53846.47265625,3172,2374,1910,0.979971945285797
266662,0.050593607127667,0.003839182201773,-0.012317449785769,53845.92578125,1649,-6,1612,0.987935543060303
266682,0.095004059374333,0.051905699074268,0.045367062091827,53808.734375,1049,2453,2342,0.98240339756012
266702,0.105926968157291,-0.008115081116557,0.006522872019559,53822.671875,-996,2733,2176,1.00580608844757
266722,0.097834847867489,-0.027495151385665,0.021292816847563,53824.73046875,2561,2026,2352,0.968272626399994
266742,0.093186922371388,0.048996575176716,0.062196750193834,53863.1171875,2108,1246,2514,0.971574366092682
266762,0.086894027888775,-0.011126981116831,0.00895969197154,53858.77734375,1033,2049,2355,0.979670464992523
266782,0.056247748434544,0.017066659405828,0.045317202806473,54011.83984375,1224,765,2560,0.998421967029572
266802,-0.039640955626965,0.120520055294037,0.052952956408262,53737.2890625,1373,3142,2603,0.975404798984528
266822,-0.019942415878177,0.063962481915951,-0.003359281457961,53919.6640625,1998,1867,2318,0.97302371263504
266842,-0.049665678292513,0.069285698235035,0.04725967720151,53971.0390625,1944,-165,2727,0.985970735549927
266862,-0.056625999510288,0.077961176633835,0.037773225456476,53991.56640625,4364,1072,2660,0.970909714698792
266882,-0.126326590776443,-0.031443450599909,-0.005162217188627,53943.234375,1044,2725,2387,1.00249171257019
266902,-0.108078598976135,-0.027761979028583,0.030442152172327,53959.92578125,3455,489,2749,0.988726735115051
266922,-0.157309040427208,0.01387351565063,0.029533693566918,54080.11328125,2205,32,2784,0.976267516613007
266942,-0.136253863573074,-0.003230775007978,-0.017915287986398,54119.2109375,4732,1303,2460,0.970012962818146
266962,-0.023552158847451,0.010315033607185,0.003280945587903,54165.16015625,3776,2465,2618,0.996860682964325
