tick,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
4216,-0.00046445481712,0.002944111125544,-0.000489317986649,0,0,0,0,0.994335114955902
4218,0.000107087231299,0.00532097555697,-0.00315404124558,0,0,0,0,0.994368851184845
4220,0.001567691448145,0.007954392582178,-0.002451592357829,0,0,0,0,0.994342505931854
4222,0.001131691038609,0.005765425506979,-0.000201101182029,0,0,0,0,0.994473338127136
4224,-0.002456491813064,5.16500622325111E-05,0.001526666339487,0,0,0,0,0.99509733915329
4226,-0.003294281894341,-0.001441362313926,0.001392745412886,0,0,0,0,0.995593428611755
4228,-0.000391948327888,0.000849493721034,1.91260241990676E-05,0,0,0,0,0.995842814445496
4230,0.002792441518977,-5.97883845330216E-05,-0.002928220666945,0,0,0,0,0.995983362197876
4232,0.003311730222777,-0.002525348914787,-0.002561595756561,0,0,0,0,0.99600738286972
4234,0.001035510795191,-0.002660717815161,0.001185008091852,0,0,0,0,0.996250212192535
4236,-0.000613912590779,-0.000901184568647,0.000290192227112,0,0,0,0,0.996690332889557
4238,-0.000257630541455,0.000775011081714,-6.33791350992396E-05,0,0,0,0,0.997123718261719
4240,0.001077668275684,0.001303881523199,0.001228621578775,0,0,0,0,0.997205555438995
4242,0.001756669022143,0.002867864444852,0.000719898322131,0,0,0,0,0.996794104576111
4244,0.001887749531306,0.004421408288181,-0.001252376940101,0,0,0,0,0.996260344982147
4246,0.002025621244684,0.005037680733949,-0.003119243774563,0,0,0,0,0.99579530954361
4248,0.00057156838011,0.002725600497797,-0.002858438296244,0,0,0,0,0.995535969734192
4250,0.000148309612996,0.000857745704707,0.001796323689632,0,0,0,0,0.995564639568329
4252,0.001448903814889,0.001924211741425,0.004242867231369,0,0,0,0,0.995526850223541
4254,0.002301158150658,0.002772975014523,0.004543609917164,0,0,0,0,0.995235860347748
4256,0.003310060594231,0.000798103341367,0.003567992942408,0,0,0,0,0.995220303535461
4258,0.003335872665048,-0.001576218637638,-0.00110422691796,0,0,0,0,0.995684206485748
4260,0.001552157453261,-0.001733852084726,-0.00564596708864,0,0,0,0,0.995974957942963
4262,0.000334623939125,0.001082052127458,-0.005560673773289,0,0,0,0,0.995456755161285
4264,-0.000271359400358,0.002880982588977,0.001103734481148,0,0,0,0,0.994332730770111
4266,0.000136208283948,0.000573845405597,0.005750484764576,0,0,0,0,0.993390083312988
4268,0.000615275930613,-0.001099798479117,0.003001071279868,0,0,0,0,0.99279910326004
4270,0.000688175146934,-0.001266970881261,0.001029107253999,0,0,0,0,0.9929558634758
4272,0.001250317669474,-0.000101882091258,-3.75635790987872E-05,0,0,0,0,0.993689000606537
4274,0.003253444563597,0.00274487095885,-0.001783760148101,0,0,0,0,0.994216203689575
4276,0.005964749492705,0.004257943481207,-0.001096027204767,0,0,0,0,0.994595468044281
4278,0.005120781715959,0.004393410403281,0.000957046984695,0,0,0,0,0.995207369327545
4280,0.000276580220088,0.004499892704189,-5.50607983313967E-05,0,0,0,0,0.995869398117065
4282,-0.002056737663224,0.003977213054895,-0.001391730736941,0,0,0,0,0.996332705020905
4284,0.000351764872903,0.000905834953301,-0.000273336365353,0,0,0,0,0.996577978134155
4286,0.002002226188779,-8.55292018968612E-05,0.000109829517896,0,0,0,0,0.996657192707062
4288,0.001695653772913,-0.000678431242704,-0.000313550786814,0,0,0,0,0.996538817882538
